output/Daily_2015_11_18_MTX.txt
Configuration loaded successfully.
114020 prediction=1 earning=-116
114816 prediction=1 earning=-66
115250 prediction=1 earning=2584
115250 prediction=1 earning=2584
115436 prediction=1 earning=2634
121127 prediction=1 earning=-66
122345 prediction=1 earning=-116
122456 prediction=1 earning=-66
122519 prediction=1 earning=1184
122752 prediction=1 earning=-66
123055 prediction=1 earning=1134
123927 prediction=1 earning=2584
124345 prediction=1 earning=-66
124349 prediction=1 earning=1334
124446 prediction=1 earning=-66
124837 prediction=1 earning=-1366
124837 prediction=1 earning=-1366
124837 prediction=1 earning=-1366
124847 prediction=1 earning=-66
124927 prediction=1 earning=-566
124928 prediction=1 earning=-1616
124928 prediction=1 earning=-1616
125005 prediction=1 earning=-66
125006 prediction=1 earning=1434
125032 prediction=1 earning=-316
125040 prediction=1 earning=-66
125042 prediction=1 earning=-16
125231 prediction=1 earning=-66
125231 prediction=1 earning=-316
125239 prediction=1 earning=-166
125343 prediction=1 earning=2384
125737 prediction=1 earning=-66
130021 prediction=1 earning=-166
130031 prediction=1 earning=1234
130039 prediction=1 earning=84
130723 prediction=1 earning=-66
130913 prediction=1 earning=1434
131857 prediction=1 earning=2684
132208 prediction=1 earning=1784
132601 prediction=1 earning=-66
132620 prediction=1 earning=884
132714 prediction=1 earning=-1366
132807 prediction=1 earning=-266
132922 prediction=1 earning=-66
133158 prediction=1 earning=-316
133246 prediction=1 earning=-316
133316 prediction=1 earning=-66
133317 prediction=1 earning=2184
134142 prediction=1 earning=1534
134314 prediction=1 earning=-66
134329 prediction=1 earning=1184
134332 prediction=1 earning=-66
134414 prediction=1 earning=1084
134440 prediction=1 earning=1234
Profit 0 = 91190
Profit 1 = -35592
Profit 2 = -4120
Profit 3 = 2318
Final profit = 53796
