# Output=[dateStart dateEnd start high low end upperBound lowerBound prediction earning]
102020 102033 8430.0 8445.0 8422.0 8428.0 8438.038207083919 8417.23452018881 0 24
102100 102153 8422.0 8427.0 8385.0 8427.0 8441.433362014377 8404.293910712895 0 174
102442 102534 8426.0 8431.0 8419.0 8431.0 8431.999423147086 8414.091485943822 0 -326
103021 103033 8425.0 8442.0 8425.0 8442.0 8432.567144868763 8408.16012785851 -1 -926
103021 103039 8425.0 8442.0 8425.0 8426.0 8432.931451607294 8408.977639301798 0 -126
103637 103732 8415.0 8415.0 8411.0 8411.0 8416.254062557084 8411.291391988372 1 -276
103637 103732 8415.0 8415.0 8411.0 8412.0 8416.26753866424 8411.096097699396 1 -226
103637 103732 8415.0 8415.0 8411.0 8413.0 8416.23324670129 8411.039480571439 0 -176
103637 103733 8415.0 8415.0 8409.0 8410.0 8416.798312623576 8409.74714192188 1 -326
103637 103733 8415.0 8415.0 8409.0 8410.0 8416.916476888417 8409.356250384311 1 -326
103637 103733 8415.0 8415.0 8409.0 8410.0 8417.0 8409.0 1 -326
103637 103733 8415.0 8415.0 8409.0 8410.0 8417.054338389678 8408.672934337594 1 -326
103637 103733 8415.0 8415.0 8409.0 8410.0 8417.118333964625 8408.42712058083 0 -326
103637 103734 8415.0 8415.0 8408.0 8408.0 8416.668577509783 8406.695058853853 1 -426
103706 103738 8414.0 8415.0 8408.0 8410.0 8416.268437198136 8406.640653710956 0 -276
103706 103748 8414.0 8415.0 8406.0 8406.0 8415.231479678863 8405.4048839575 1 -476
103706 103748 8414.0 8415.0 8406.0 8406.0 8414.691980522895 8405.126201295285 1 -476
103706 103748 8414.0 8415.0 8406.0 8406.0 8414.002524544378 8404.997475455622 1 -476
103706 103749 8414.0 8415.0 8406.0 8406.0 8413.132020140163 8405.049798041657 0 -476
104040 104132 8410.0 8410.0 8405.0 8405.0 8412.639998546618 8403.541819635202 0 -326
104040 104136 8410.0 8410.0 8404.0 8404.0 8412.471351703325 8402.619557387583 1 -376
104040 104138 8410.0 8410.0 8403.0 8403.0 8412.377094195734 8402.07745125881 1 -426
104040 104139 8410.0 8410.0 8403.0 8403.0 8412.4272042024 8401.5727957976 1 -426
104040 104139 8410.0 8410.0 8403.0 8403.0 8412.42738965094 8401.118064894516 0 -426
104201 104244 8405.0 8406.0 8403.0 8406.0 8405.477142106449 8401.522857893551 0 -126
104203 104302 8405.0 8406.0 8399.0 8400.0 8406.53026779403 8400.015186751425 1 -326
104203 104302 8405.0 8406.0 8399.0 8400.0 8406.667804472647 8399.604922800081 1 -326
104203 104302 8405.0 8406.0 8399.0 8401.0 8406.687495568001 8399.403413522907 0 -276
104203 104303 8405.0 8417.0 8399.0 8401.0 8410.257902291267 8396.196643163277 0 124
104501 104556 8405.0 8428.0 8405.0 8412.0 8417.731060058204 8391.541667214524 0 -426
105005 105024 8431.0 8431.0 8419.0 8419.0 8425.111402971208 8398.9795061197 0 524
105038 105137 8418.0 8432.0 8417.0 8417.0 8428.597123281836 8407.311967627256 0 -26
105656 105739 8411.0 8427.0 8397.0 8415.0 8429.294369531764 8402.16017592278 0 124
105958 110053 8424.0 8435.0 8421.0 8421.0 8433.543628707284 8400.729098565444 0 74
110803 110804 8416.0 8416.0 8413.0 8413.0 8428.342356366866 8411.566734542226 1 -226
110803 110804 8416.0 8416.0 8413.0 8415.0 8427.446709075259 8411.371472742921 0 -126
110803 110809 8416.0 8429.0 8412.0 8412.0 8425.635666447955 8410.818879006589 1 124
110803 110810 8416.0 8429.0 8412.0 8427.0 8426.69645156039 8410.30354843961 -1 474
110803 110825 8416.0 8429.0 8409.0 8409.0 8426.851514638078 8408.966667180102 1 274
110803 110825 8416.0 8429.0 8409.0 8409.0 8426.802836671468 8407.833526964896 1 -426
110803 110825 8416.0 8429.0 8409.0 8425.0 8427.404085474738 8407.595914525262 0 374
110803 110827 8416.0 8429.0 8407.0 8407.0 8427.918904853115 8405.172004237793 1 -526
110803 110828 8416.0 8429.0 8407.0 8423.0 8428.449149797423 8405.096304748033 0 274
111816 111836 8414.0 8428.0 8414.0 8428.0 8427.451003093758 8399.458087815334 0 -776
113002 113002 8435.0 8435.0 8435.0 8435.0 8432.706876827931 8411.656759535705 -1 -76
113002 113102 8435.0 8435.0 8424.0 8424.0 8432.251385715645 8411.748614284355 0 474
113102 113127 8424.0 8424.0 8401.0 8420.0 8433.985558138229 8408.10535095268 0 -276
115001 115046 8413.0 8429.0 8413.0 8429.0 8427.95972757202 8407.2220906098 -1 -876
115001 115046 8413.0 8429.0 8413.0 8429.0 8429.37780934339 8406.62219065661 -1 -876
115001 115046 8413.0 8429.0 8413.0 8429.0 8430.256507089394 8406.19803836515 0 -876
115453 115534 8425.0 8439.0 8425.0 8431.0 8435.487718977432 8417.330462840748 0 -376
115939 115939 8441.0 8441.0 8441.0 8441.0 8438.224430892804 8429.502841834468 -1 -76
115939 120001 8441.0 8441.0 8430.0 8430.0 8438.316115227946 8429.320248408418 1 474
115939 120006 8441.0 8441.0 8430.0 8430.0 8438.44404428039 8429.010501174154 1 -626
120001 120041 8430.0 8432.0 8430.0 8432.0 8438.401955293264 8429.143499252192 0 24
120602 120632 8430.0 8430.0 8427.0 8427.0 8438.7595381764 8426.2404618236 1 -226
120602 120646 8430.0 8430.0 8427.0 8427.0 8438.555050485322 8425.626767696498 1 -226
120629 120722 8427.0 8427.0 8424.0 8424.0 8438.59662524715 8424.494283843758 1 -226
120629 120722 8427.0 8439.0 8424.0 8439.0 8439.17451434994 8424.189122013697 0 524
120629 120723 8427.0 8439.0 8423.0 8423.0 8439.40767033893 8421.955966024707 1 -276
120629 120723 8427.0 8439.0 8423.0 8423.0 8439.339752915974 8421.023883447662 0 -276
121645 121733 8429.0 8433.0 8429.0 8433.0 8433.121950654682 8422.241685708954 0 -276
121733 121829 8433.0 8436.0 8433.0 8436.0 8435.282230221128 8422.445042506144 -1 -226
121733 121830 8433.0 8436.0 8433.0 8436.0 8435.997474260163 8422.91161664893 0 -226
122034 122108 8433.0 8447.0 8433.0 8434.0 8442.406729235609 8428.411452582572 0 -126
122656 122656 8435.0 8435.0 8435.0 8435.0 8444.799262865608 8428.655282588936 0 -76
123813 123813 8426.0 8426.0 8426.0 8426.0 8445.792899244665 8424.570737118971 1 -76
123813 123814 8426.0 8426.0 8423.0 8423.0 8446.340711269657 8422.841106912163 1 -226
123813 123814 8426.0 8426.0 8423.0 8423.0 8446.4992615471 8421.31892027108 1 -226
123813 123814 8426.0 8426.0 8423.0 8423.0 8446.465396985803 8419.989148468741 0 -226
124819 124830 8417.0 8417.0 8416.0 8417.0 8425.093219841227 8414.361325613318 0 -76
124819 124852 8417.0 8417.0 8415.0 8415.0 8424.36420928975 8413.544881619342 0 -176
125424 125503 8417.0 8417.0 8413.0 8413.0 8419.60410978932 8413.486799301589 1 -276
125424 125503 8417.0 8417.0 8413.0 8413.0 8419.642273690688 8412.994089945676 1 -276
125424 125503 8417.0 8417.0 8413.0 8413.0 8419.602401439242 8412.579416742577 1 -276
125424 125504 8417.0 8417.0 8413.0 8413.0 8419.621923246665 8412.196258571516 1 -276
125424 125506 8417.0 8417.0 8413.0 8413.0 8419.03707116746 8412.14474701436 1 -276
125424 125512 8417.0 8417.0 8413.0 8415.0 8418.897860289278 8412.102139710722 0 -176
125710 125744 8419.0 8433.0 8419.0 8421.0 8427.147376182545 8409.125351090182 0 -176
130617 130617 8434.0 8434.0 8434.0 8434.0 8432.436350630764 8407.01819482378 -1 -76
130720 130720 8422.0 8422.0 8422.0 8422.0 8432.579581644419 8407.602236537401 0 -76
131734 131821 8427.0 8444.0 8427.0 8430.0 8435.02214007089 8420.068769020017 0 -226
131821 131859 8430.0 8443.0 8430.0 8433.0 8439.302983682874 8419.606107226218 0 -226
131849 131949 8443.0 8452.0 8433.0 8434.0 8444.852427912563 8419.056662996529 0 374
133053 133129 8439.0 8444.0 8439.0 8444.0 8443.759222105837 8438.877141530527 0 -326
133244 133333 8442.0 8446.0 8442.0 8446.0 8445.54407681863 8439.546832272277 -1 -276
133244 133333 8442.0 8446.0 8442.0 8446.0 8446.016284140893 8439.529170404563 0 -276
133524 133614 8443.0 8444.0 8442.0 8444.0 8448.217936425232 8441.145699938405 0 -26
133636 133731 8457.0 8457.0 8440.0 8440.0 8451.667281838423 8438.605445434305 1 774
133731 133738 8440.0 8440.0 8439.0 8439.0 8451.9214091738 8437.987681735292 1 -126
133731 133742 8440.0 8440.0 8439.0 8440.0 8452.0316322683 8437.695640458973 0 -76
133731 133800 8440.0 8454.0 8439.0 8439.0 8453.413829500745 8436.404352317435 0 -26
Total Transaction = 180
Final profit = -45130
