
C:\work\tx>java -cp out oracle.bband.Oracle samples/SampleKBarOutput.txt 
Output = [timestamp date end upperBound MA lowerBound]
084658 8377.0 8387.007022327734 8376.681818181818 8366.992977672266
084658 8378.0 8387.57268842261 8377.0 8368.42731157739
084702 8379.0 8388.32604989326 8377.272727272728 8369.67395010674
084704 8379.0 8388.217303167736 8377.181818181818 8369.782696832264
084716 8379.0 8388.059947275127 8377.454545454546 8369.940052724873
084754 8376.0 8384.757995166638 8377.772727272728 8367.242004833362
084817 8376.0 8384.64019053968 8377.863636363636 8367.35980946032
084823 8375.0 8383.51687677982 8377.954545454546 8366.48312322018
084827 8375.0 8381.773794912799 8377.272727272728 8368.226205087201
084834 8375.0 8381.698340734469 8377.318181818182 8368.301659265531
084837 8388.0 8394.513177995672 8377.40909090909 8381.486822004328
084838 8388.0 8395.686523572338 8378.045454545454 8380.313476427662
084845 8374.0 8382.40306909694 8378.727272727272 8365.59693090306
084849 8374.0 8381.032392583933 8378.0 8366.967607416067
084858 8376.0 8383.121727898793 8377.954545454546 8368.878272101207
084859 8376.0 8383.158188976375 8377.90909090909 8368.841811023625
084900 8375.0 8382.193316457164 8377.863636363636 8367.806683542836
084900 8386.0 8393.252243881883 8377.818181818182 8378.747756118117
084901 8348.0 8356.014449760194 8378.181818181818 8339.985550239806
084901 8376.0 8390.91352483957 8376.818181818182 8361.08647516043
084922 8384.0 8398.886068699368 8376.681818181818 8369.113931300632
084936 8374.0 8389.189437391307 8376.954545454546 8358.810562608693
084938 8375.0 8390.209827184264 8376.727272727272 8359.790172815736
084948 8376.0 8391.226119359306 8376.636363636364 8360.773880640694
085001 8377.0 8392.216346147568 8376.545454545454 8361.783653852432
085002 8377.0 8392.180457206281 8376.454545454546 8361.819542793719
085004 8377.0 8392.142300228114 8376.363636363636 8361.857699771886
085009 8377.0 8392.101858021531 8376.272727272728 8361.898141978469
085024 8377.0 8392.104320437138 8376.318181818182 8361.895679562862
085026 8377.0 8392.106235371773 8376.363636363636 8361.893764628227
085033 8377.0 8392.096384548835 8376.454545454546 8361.903615451165
085054 8377.0 8392.084335917854 8376.545454545454 8361.915664082146
085113 8377.0 8392.070084207347 8376.636363636364 8361.929915792653
085129 8375.0 8389.235620554158 8376.136363636364 8360.764379445842
085158 8374.0 8387.26276089079 8375.545454545454 8360.73723910921
085210 8372.0 8385.26276089079 8375.545454545454 8358.73723910921
085213 8385.0 8398.331129294416 8375.454545454546 8371.668870705584
085216 8367.0 8380.912655514712 8375.863636363636 8353.087344485288
085220 8366.0 8380.39352471492 8375.454545454546 8351.60647528508
085221 8366.0 8380.923773258277 8375.045454545454 8351.076226741723
085225 8367.0 8381.576387562773 8374.136363636364 8352.423612437227
085227 8368.0 8377.723448696088 8375.0 8358.276551303912
085233 8369.0 8379.13626171983 8374.636363636364 8358.86373828017
085237 8370.0 8379.524652658469 8373.954545454546 8360.475347341531
085242 8369.0 8378.665906686188 8373.772727272728 8359.334093313812
085242 8380.0 8389.848857801797 8373.5 8370.151142198203
085250 8370.0 8380.169229230403 8373.681818181818 8359.830770769597
085255 8369.0 8379.172073258691 8373.363636363636 8358.827926741309
085300 8369.0 8379.198039027186 8373.0 8358.801960972814
085305 8369.0 8379.172073258691 8372.636363636364 8358.827926741309
085310 8369.0 8379.093775186751 8372.272727272728 8358.906224813249
085313 8369.0 8378.96191093222 8371.90909090909 8359.03808906778
085318 8370.0 8379.774312767793 8371.545454545454 8360.225687232207
085344 8372.0 8381.495105307125 8371.227272727272 8362.504894692875
085351 8373.0 8382.165151389912 8371.0 8363.834848610088
085358 8372.0 8380.834567718732 8370.818181818182 8363.165432281268
085359 8372.0 8380.663116458692 8370.681818181818 8363.336883541308
085414 8374.0 8382.563327537377 8370.59090909091 8365.436672462623
085418 8374.0 8382.663116458692 8370.681818181818 8365.336883541308
085418 8375.0 8381.22710683256 8370.181818181818 8368.77289316744
085443 8373.0 8379.37401750653 8370.545454545454 8366.62598249347
085446 8383.0 8389.128783196613 8370.863636363636 8376.871216803387
085458 8389.0 8396.592950188298 8371.636363636364 8381.407049811702
085529 8373.0 8383.225555411374 8372.636363636364 8362.774444588626
085529 8374.0 8384.023526045268 8372.863636363636 8363.976473954732
085534 8373.0 8382.888636102463 8373.09090909091 8363.111363897537
085542 8374.0 8383.796693657127 8373.227272727272 8364.203306342873
085547 8376.0 8385.624349285721 8373.454545454546 8366.375650714279
085549 8376.0 8385.267378136272 8373.272727272728 8366.732621863728
085554 8376.0 8385.219096242972 8373.545454545454 8366.780903757028
085602 8376.0 8385.051277248804 8373.863636363636 8366.948722751196
085612 8377.0 8385.834567718732 8374.181818181818 8368.165432281268
085616 8376.0 8384.607127548032 8374.545454545454 8367.392872451968
085629 8388.0 8396.274725033509 8374.863636363636 8379.725274966491
085640 8377.0 8386.51901099106 8375.727272727272 8367.48098900894
085646 8375.0 8384.194410806715 8376.045454545454 8365.805589193285
085716 8374.0 8383.038028015735 8376.181818181818 8364.961971984265
085717 8374.0 8382.983455868363 8376.227272727272 8365.016544131637
085718 8374.0 8382.849989494322 8376.318181818182 8365.150010505678
085725 8375.0 8383.710684993606 8376.40909090909 8366.289315006394
085728 8375.0 8383.670268376412 8376.454545454546 8366.329731623588
085757 8348.0 8356.62870473794 8376.5 8339.37129526206
