# Too few sequence #1
# Number of KBar units = 1506
090306 090405 8361.0 8379.0 8354.0 8354.0
090310 090408 8359.0 8379.0 8354.0 8355.0
090310 090409 8359.0 8379.0 8354.0 8356.0
090310 090410 8359.0 8379.0 8354.0 8358.0
090318 090411 8378.0 8379.0 8354.0 8375.0
090318 090413 8378.0 8379.0 8354.0 8362.0
090323 090420 8359.0 8378.0 8354.0 8359.0
090326 090424 8359.0 8378.0 8354.0 8355.0
090334 090434 8357.0 8375.0 8354.0 8359.0
090337 090437 8357.0 8378.0 8354.0 8378.0
090359 090441 8356.0 8378.0 8354.0 8360.0
090359 090449 8356.0 8378.0 8354.0 8361.0
090359 090450 8356.0 8378.0 8354.0 8360.0
090359 090451 8356.0 8378.0 8354.0 8360.0
090359 090456 8356.0 8378.0 8354.0 8358.0
090359 090457 8356.0 8378.0 8354.0 8376.0
090405 090505 8354.0 8378.0 8354.0 8357.0
090408 090508 8355.0 8378.0 8355.0 8358.0
090409 090509 8356.0 8378.0 8355.0 8357.0
090410 090510 8358.0 8378.0 8355.0 8359.0
090411 090511 8375.0 8378.0 8355.0 8360.0
090420 090514 8359.0 8378.0 8355.0 8362.0
090420 090515 8359.0 8378.0 8355.0 8378.0
090420 090516 8359.0 8378.0 8355.0 8364.0
090420 090519 8359.0 8378.0 8355.0 8365.0
090424 090521 8355.0 8378.0 8355.0 8365.0
090434 090527 8359.0 8378.0 8357.0 8362.0
090437 090536 8378.0 8378.0 8357.0 8362.0
090449 090545 8361.0 8378.0 8357.0 8360.0
090505 090603 8357.0 8378.0 8357.0 8361.0
090509 090609 8357.0 8378.0 8357.0 8378.0
090536 090632 8362.0 8378.0 8360.0 8365.0
090536 090633 8362.0 8378.0 8360.0 8366.0
090536 090634 8362.0 8378.0 8360.0 8366.0
090536 090635 8362.0 8378.0 8360.0 8378.0
090536 090636 8362.0 8378.0 8360.0 8363.0
090603 090650 8361.0 8378.0 8361.0 8378.0
090603 090654 8361.0 8378.0 8361.0 8368.0
090603 090655 8361.0 8378.0 8361.0 8368.0
090603 090657 8361.0 8378.0 8361.0 8368.0
090603 090700 8361.0 8378.0 8361.0 8368.0
090603 090701 8361.0 8384.0 8361.0 8384.0
090603 090703 8361.0 8384.0 8361.0 8373.0
090632 090715 8365.0 8384.0 8363.0 8378.0
090632 090716 8365.0 8390.0 8363.0 8390.0
090632 090717 8365.0 8395.0 8363.0 8395.0
090632 090719 8365.0 8395.0 8363.0 8380.0
090632 090726 8365.0 8395.0 8363.0 8377.0
090632 090732 8365.0 8395.0 8363.0 8392.0
090655 090755 8368.0 8395.0 8368.0 8378.0
090703 090803 8373.0 8395.0 8373.0 8378.0
090715 090809 8378.0 8395.0 8377.0 8380.0
090715 090813 8378.0 8395.0 8377.0 8381.0
090715 090814 8378.0 8395.0 8377.0 8381.0
090726 090825 8377.0 8392.0 8377.0 8380.0
090755 090833 8378.0 8381.0 8378.0 8380.0
090755 090840 8378.0 8395.0 8378.0 8395.0
090755 090849 8378.0 8395.0 8378.0 8393.0
090755 090852 8378.0 8395.0 8378.0 8395.0
090803 090857 8378.0 8395.0 8378.0 8390.0
090803 090858 8378.0 8395.0 8373.0 8373.0
090809 090905 8380.0 8395.0 8373.0 8375.0
090809 090908 8380.0 8395.0 8373.0 8375.0
090825 090919 8380.0 8395.0 8373.0 8393.0
090840 090936 8395.0 8401.0 8373.0 8401.0
090840 090937 8395.0 8401.0 8373.0 8384.0
090840 090938 8395.0 8401.0 8373.0 8384.0
090840 090940 8395.0 8401.0 8373.0 8383.0
090849 090943 8393.0 8401.0 8373.0 8394.0
090849 090947 8393.0 8401.0 8373.0 8382.0
090852 090950 8395.0 8401.0 8373.0 8382.0
090852 090951 8395.0 8401.0 8373.0 8378.0
090852 090952 8395.0 8401.0 8373.0 8378.0
090857 090953 8390.0 8401.0 8373.0 8398.0
